"Year","Player Name","Position","Team","Innings Pitched (IP)","Hits Allowed (H)","Earned Runs (ER)","Walks Issued (BB)","Strikeouts (K)","Saves (SV)","Blown Saves (BS)","Holds (HD)","Fantasy Points (FPTS)"
"2024","Marcus Stroman","SP","New York Yankees",154.666666666667,167,74,60,113,1,0,0,366
"2024","Griffin Canning","SP","Los Angeles Angels",171.666666666667,174,99,66,130,0,0,0,365.5
"2023","Shane Bieber","SP","Cleveland Guardians",128,124,54,34,107,0,0,0,363
"2025","Michael Lorenzen","SP","Kansas City Royals",141.666666666667,149,73,39,127,0,0,1,362.5
"2023","Patrick Sandoval","SP","Los Angeles Angels",144.666666666667,145,66,74,128,0,0,0,362
"2025","Tomoyuki Sugano","SP","Baltimore Orioles",157,173,81,36,106,0,0,0,360.5
"2024","Grayson Rodriguez","SP","Baltimore Orioles",116.666666666667,109,50,36,130,0,0,0,360
"2024","Simeon Woods Richardson","SP","Minnesota Twins",133.666666666667,125,62,48,117,0,0,0,359.5
"2023","Wade Miley","SP","Milwaukee Brewers",120.333333333333,99,42,38,79,0,0,0,357.5
"2025","Slade Cecconi","SP","Cleveland Guardians",132,125,63,32,109,0,0,0,357
"2025","Adrian Houser","SP","Tampa Bay Rays",125,122,46,38,92,0,0,0,356.5
"2025","Kodai Senga","SP","New York Mets",113.333333333333,94,38,55,109,0,0,0,356
"2023","J.P. France","SP","Houston Astros",136.333333333333,138,58,47,101,0,0,0,355.5
"2023","Patrick Corbin","SP","Washington Nationals",180,210,104,57,124,0,0,0,355
"2025","Kyle Freeland","SP","Colorado Rockies",162.666666666667,193,90,38,124,0,0,0,355
"2025","Sean Burke","SP","Chicago White Sox",134.333333333333,131,63,63,133,0,0,0,354.5
"2023","Logan Allen","SP","Cleveland Guardians",125.333333333333,127,53,48,119,0,0,0,349
"2024","Alec Marsh","SP","Kansas City Royals",129,123,65,39,123,0,0,0,346.5
"2024","Jose Soriano","SP","Los Angeles Angels",113,91,43,45,97,0,0,1,345.5
"2025","Miles Mikolas","SP","St. Louis Cardinals",156.333333333333,169,84,37,100,0,0,0,345.5
"2024","Bailey Falter","SP","Pittsburgh Pirates",142.333333333333,138,70,45,97,0,0,0,344.5
"2025","Chris Paddack","SP","Detroit Tigers",158,166,94,37,112,1,0,0,344
"2025","Taj Bradley","SP","Minnesota Twins",142.666666666667,131,80,56,127,0,0,0,342
"2024","Reese Olson","SP","Detroit Tigers",112.333333333333,100,44,33,101,0,0,0,341.5
"2025","Eduardo Rodriguez","SP","Arizona Diamondbacks",154.333333333333,178,86,60,143,0,0,0,341.5
"2025","Bryce Elder","SP","Atlanta Braves",156.333333333333,167,92,51,131,0,0,0,340.5
"2025","Bailey Ober","SP","Minnesota Twins",146.333333333333,159,83,31,120,0,0,0,339.5
"2023","Grayson Rodriguez","SP","Baltimore Orioles",122,121,59,42,129,0,0,0,338
"2025","Jose Quintana","SP","Milwaukee Brewers",131.666666666667,120,58,50,89,0,0,0,337.5
"2024","Chris Flexen","SP","Chicago White Sox",160,180,88,63,123,0,0,0,336
"2024","Patrick Corbin","SP","Washington Nationals",174.666666666667,208,109,54,139,0,0,0,336
"2023","Graham Ashcraft","SP","Cincinnati Reds",145.666666666667,148,77,52,111,0,0,0,335.5
"2025","Jake Irvin","SP","Washington Nationals",180,195,114,62,124,0,0,0,335
"2023","Jack Flaherty","SP","Baltimore Orioles",144.333333333333,162,80,66,148,0,0,1,334.5
"2023","Colin Rea","SP","Milwaukee Brewers",124.666666666667,110,63,38,110,0,0,0,334
