Player Name,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD)
Martín Pérez,ATL,48.2,50,25,18,37,0,0,0
Tobias Myers,NYM,63.1,62,28,19,54,0,0,5
Luis Garcia,,50.1,48,23,18,47,1,2,9
Hayden Birdsong,SFG,52,47,26,26,52,0,0,1
Kody Funderburk,MIN,62.1,58,27,25,59,4,3,14
Justin Slaten,BOS,61,57,27,20,57,2,3,12
Kyle Finnegan,DET,61.2,57,27,21,58,6,5,14
Tyler Anderson,LAA,85,86,46,34,66,0,0,0
Pierson Ohl,COL,43,46,22,10,36,0,1,2
Marcus Stroman,,56.1,60,30,22,40,0,0,0
Brendon Little,TOR,52,44,21,28,56,0,3,13
Germán Márquez,SDP,100.2,110,58,36,74,0,0,0
Justin Topa,MIN,61.1,61,27,19,51,5,3,14
Andrew Kittredge,BAL,56.1,52,23,15,56,5,3,17
Jovani Morán,BOS,52.1,47,23,23,55,0,1,7
Sawyer Gipson-Long,DET,38.2,36,18,10,35,0,0,3
Jake Irvin,WSN,109,111,59,36,82,0,0,0
Paul Blackburn,NYY,63.1,63,31,20,54,0,0,6
Erik Miller,SFG,59,50,23,31,63,3,2,14
Justin Wilson,,40.2,37,17,15,44,0,2,6
José Urquidy,PIT,90.2,93,49,30,69,0,0,1
Brad Keller,PHI,65.1,60,28,24,60,4,2,17
Angel Zerpa,MIL,59.1,56,25,20,55,0,2,12
Yimi García,TOR,53,44,22,19,58,4,5,9
Luke Weaver,NYM,67.1,59,29,21,72,5,3,19
Matt Gage,SFG,53.1,52,23,18,46,0,1,6
Caleb Ferguson,CIN,56,53,26,22,53,0,3,11
Blake Treinen,LAD,56.1,50,25,23,61,1,4,15
Taylor Rogers,MIN,57.1,52,26,24,59,14,2,7
JP Sears,SDP,57.2,55,29,16,50,0,0,1
Mark Leiter Jr.,ATH,62.2,58,29,24,67,6,4,15
Charlie Morton,,51.2,50,28,24,53,0,0,0
Eduard Bazardo,SEA,64,55,27,21,65,1,0,10
