Player Name,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB)
Emmanuel Rodriguez,MIN,10,6,14,5,7,0,17,1
Adael Amador,COL,32,17,50,14,12,0,25,5
Chris Taylor,LAA,33,19,53,16,15,0,56,4
David Fry,CLE,39,21,69,23,16,0,52,2
Tim Tawa,ARI,39,20,65,20,13,0,48,3
Myles Straw,TOR,34,18,49,11,11,0,30,6
Kyle Isbel,KCR,90,47,132,34,28,1,87,10
Jorge Mateo,ATL,34,22,51,12,8,0,44,13
Paul DeJong,NYY,13,7,24,8,4,0,21,1
Michael Conforto,CHC,31,17,52,18,17,0,41,0
Brett Harris,ATH,34,18,50,15,13,0,36,2
Jack Suwinski,LAD,15,10,26,9,8,0,25,2
Endy Rodríguez,PIT,19,9,28,9,6,0,18,1
Alex Verdugo,SDP,21,10,31,10,7,0,14,0
Alejandro Osuna,TEX,17,9,22,7,6,0,17,2
Garrett Stubbs,PHI,6,3,6,2,2,0,7,1
Enmanuel Valdez,PIT,10,5,14,5,4,0,10,0
Jeferson Quero,MIL,5,2,9,3,1,0,4,0
James Triantos,CHC,7,3,7,3,1,0,4,1
Alex Jackson,MIN,9,5,17,5,3,0,16,0
Matt Thaiss,BOS,5,3,9,2,3,0,6,0
LaMonte Wade Jr.,CHW,23,13,39,12,15,1,27,1
Jose Siri,LAA,7,5,14,4,3,0,14,1
Nathaniel Lowe,CIN,44,23,69,22,23,1,50,1
Jacob Melton,TBR,29,17,46,13,10,0,40,7
Isiah Kiner-Falefa,BOS,49,21,64,17,9,0,35,6
Will Wagner,SDP,19,9,26,8,7,0,16,1
Kristian Campbell,BOS,27,14,39,12,11,0,33,2
Brice Matthews,HOU,8,5,11,4,3,0,14,2
Bryce Teodosio,LAA,42,22,63,15,11,0,71,9
Eric Wagaman,MIN,27,13,42,14,7,0,23,1
Tommy Troy,ARI,10,5,15,4,3,0,10,1
Korey Lee,CHW,21,10,35,10,6,0,28,1
Michael Arroyo,SEA,4,2,5,2,2,0,5,0
Eduardo Valencia,DET,4,2,9,2,1,0,4,0
Gabriel Gonzalez,MIN,12,5,18,5,3,0,9,1
Nelson Rada,LAA,16,8,22,5,6,0,17,4
Jac Caglianone,KCR,103,55,176,59,37,2,117,3
Kyren Paris,LAA,12,8,20,6,6,0,24,3
Christian Koss,SFG,24,12,38,9,5,0,28,2
Nick Loftin,KCR,24,12,35,11,8,0,18,1
Miles Mastrobuoni,SEA,9,5,11,3,4,0,9,2
Hao-Yu Lee,DET,5,2,5,2,1,0,4,0
Willie MacIver,TEX,6,3,10,3,2,0,9,1
Cody Freeman,TEX,39,17,54,17,9,0,28,2
Michael Helman,TEX,28,15,46,14,9,0,36,4
Eric Haase,SFG,5,2,9,2,2,0,8,0
Jhostynxon Garcia,PIT,57,28,90,29,16,0,74,4
Daniel Susac,SFG,18,9,27,9,5,0,26,1
Ronny Mauricio,NYM,32,17,50,16,9,1,38,4
