VORP Rank,Tier,Player Name,Position,Team,ML Points,VORP,ADP,Sleeper Score
251,4,JJ Wetherholt,2B,St. Louis Cardinals,464.803531167964,52.57002201132434,223.33,-27.669999999999987
252,4,Tommy Edman,2B,Los Angeles Dodgers,464.5052521417904,52.271742985150695,307.6,55.60000000000002
253,4,Luis Severino,SP,Athletics,429.2970545156132,52.043669097671454,396.67,143.67000000000002
254,4,Braxton Ashcraft,SP,Pittsburgh Pirates,429.1073002751878,51.85391485724608,297.33,43.329999999999984
255,4,Seth Lugo,SP,Kansas City Royals,428.9957686567107,51.74238323876898,309.2,54.19999999999999
256,4,Joey Cantillo,SP,Cleveland Guardians,428.4717269505702,51.21834153262847,302.83,46.829999999999984
257,4,Chad Patrick,SP,Milwaukee Brewers,427.9975469022372,50.74416148429549,336.75,79.75
258,4,Kyle Manzardo,DH,Cleveland Guardians,501.96904082582284,50.58205323713611,261.33,3.329999999999984
259,3,Gabriel Moreno,C,Arizona Diamondbacks,484.1448471123615,50.3379972323595,229.0,-30.0
260,4,Marcell Ozuna,DH,Pittsburgh Pirates,501.27778005149526,49.89079246280852,274.5,14.5
261,4,Noah Cameron,SP,Kansas City Royals,427.02398276045557,49.77059734251384,259.67,-1.329999999999984
262,4,Matthew Liberatore,SP,St. Louis Cardinals,426.9252047950873,49.671819377145596,384.0,122.0
263,4,Cody Ponce,SP,Toronto Blue Jays,424.52363423321356,47.27024881527183,298.5,35.5
264,4,Quinn Priester,SP,Milwaukee Brewers,424.0971400912176,46.843754673275896,271.17,7.170000000000016
265,4,Spencer Steer,1B,Cincinnati Reds,441.71816892455803,46.61650146812377,266.83,1.829999999999984
266,4,Cade Horton,SP,Chicago Cubs,422.85118243109156,45.59779701314983,181.0,-85.0
267,4,Dustin May,SP,St. Louis Cardinals,422.8472320557725,45.59384663783078,392.0,125.0
268,4,Aroldis Chapman,RP,Boston Red Sox,489.5599229252822,44.809140606407595,89.33,-178.67000000000002
269,4,Jeremiah Estrada,RP,San Diego Padres,489.0669178066394,44.316135487764825,323.2,54.19999999999999
