Player Name,Position,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB),ADP
Miguel Rojas,SS,Los Angeles Dodgers,37,19,53,16,10,0,24,2,800.0
Eli White,OF,Atlanta Braves,30,17,49,13,8,0,37,5,702.0
Jesus Rodriguez,C,San Francisco Giants,12,6,17,5,3,0,8,1,724.5
Alek Thomas,OF,Arizona Diamondbacks,91,46,140,42,24,1,96,8,793.5
Moises Ballesteros,C,Chicago Cubs,79,37,120,39,27,2,64,1,356.0
Triston Casas,1B,Boston Red Sox,37,20,65,24,21,2,46,0,379.67
Hyeseong Kim,2B,Los Angeles Dodgers,38,20,53,14,10,0,38,6,478.5
Masataka Yoshida,OF,Boston Red Sox,51,23,76,24,15,1,26,2,784.5
Mark Vientos,3B,New York Mets,93,48,163,56,30,1,116,1,291.0
Anthony Santander,OF,Toronto Blue Jays,25,15,48,17,11,0,27,0,319.75
Owen Caissie,OF,Miami Marlins,84,42,133,43,35,1,131,5,354.75
Zach Cole,OF,Houston Astros,65,41,117,35,28,2,141,8,700.0
Leo De Vries,SS,Athletics,7,4,12,4,2,0,7,1,783.0
Luis Rengifo,3B,Milwaukee Brewers,94,43,132,39,26,0,77,12,420.5
Christopher Morel,2B,Miami Marlins,66,40,121,41,29,1,101,7,822.0
Max Schuemann,SS,New York Yankees,14,8,18,5,6,0,16,2,670.0
Nolan Jones,OF,Cleveland Guardians,29,17,47,14,15,1,42,3,824.0
Aidan Miller,SS,Philadelphia Phillies,11,6,15,5,4,0,14,2,446.0
Johan Rojas,OF,Philadelphia Phillies,25,14,38,8,6,0,25,6,602.0
Kyle Isbel,OF,Kansas City Royals,90,47,132,34,28,1,87,10,810.5
Jorge Mateo,SS,Atlanta Braves,34,22,51,12,8,0,44,13,634.0
Paul DeJong,2B,New York Yankees,13,7,24,8,4,0,21,1,586.0
Endy Rodriguez,C,Pittsburgh Pirates,19,9,28,9,6,0,18,1,704.5
LaMonte Wade Jr.,1B,Chicago White Sox,23,13,39,12,15,1,27,1,583.5
Jose Siri,OF,Los Angeles Angels,7,5,14,4,3,0,14,1,625.5
Nathaniel Lowe,1B,Cincinnati Reds,44,23,69,22,23,1,50,1,799.0
Isiah Kiner-Falefa,2B,Boston Red Sox,49,21,64,17,9,0,35,6,868.5
Kristian Campbell,2B,Boston Red Sox,27,14,39,12,11,0,33,2,416.5
Nelson Rada,OF,Los Angeles Angels,16,8,22,5,6,0,17,4,837.0
Jac Caglianone,1B,Kansas City Royals,103,55,176,59,37,2,117,3,212.17
Daniel Susac,C,San Francisco Giants,18,9,27,9,5,0,26,1,706.0
MJ Melendez,OF,New York Mets,18,11,31,11,9,0,27,1,660.5
Tyler Fitzgerald,SS,San Francisco Giants,17,9,28,8,5,0,27,2,683.5
Spencer Jones,OF,New York Yankees,7,4,10,4,3,0,14,1,554.75
Nick Sogard,1B,Boston Red Sox,19,9,25,7,8,0,19,2,578.0
Orlando Arcia,SS,Minnesota Twins,26,12,40,13,8,0,28,0,681.0
Wade Meckler,OF,Los Angeles Angels,13,6,14,5,5,0,13,1,525.5
Jhonkensy Noel,1B,Baltimore Orioles,5,3,9,3,1,0,8,0,622.0
Abraham Toro,1B,Kansas City Royals,8,4,13,4,2,0,7,0,522.5
